id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
961831,Home in Vancouver · ★5.0 · 1 bedroom · 1 bed · 1 shared bath,3751879,Jayden,,Kitsilano,49.26648,-123.15939,Private room,99,4,40,2023-07-09,1.26,2,99,10,22-156862
980511,Rental unit in Vancouver · ★4.73 · Studio · 1 bed · 1 bath,600607,Martello,,Downtown,49.27489,-123.12654,Entire home/apt,83,30,11,2023-07-26,0.11,34,0,2,
995174,Rental unit in Vancouver · ★4.60 · 2 bedrooms · 2 beds · 2 baths,600607,Martello,,West End,49.28837,-123.12766,Entire home/apt,111,30,15,2023-02-13,0.12,34,0,2,
1012385,Home in Vancouver · ★4.78 · 1 bedroom · 1 bed · 1.5 baths,5569906,Mark Anthony,,Mount Pleasant,49.25674,-123.0874,Entire home/apt,107,2,351,2023-08-25,2.78,1,168,38,23-156575
1015935,Guesthouse in Vancouver · ★4.80 · Studio · 1 bed · 1 bath,56709,Samantha Jo,,Downtown Eastside,49.2804,-123.08908,Entire home/apt,135,30,219,2023-08-07,1.73,4,327,3,19-162091
1021607,Condo in Vancouver · ★4.85 · Studio · 2 beds · 1 bath,5623565,Hajime,,Downtown,49.27747,-123.12098,Entire home/apt,80,30,110,2023-07-26,0.87,1,53,6,Exempt
1032892,Home in Vancouver · ★4.85 · 1 bedroom · 1 bed · 1 private bath,2378744,Lori,,Grandview-Woodland,49.27241,-123.06332,Private room,125,2,123,2023-09-03,0.98,1,80,37,23-156419
1061895,Condo in Vancouver · ★4.74 · 1 bedroom · 1 bed · 1.5 baths,5845838,Jenny,,Renfrew-Collingwood,49.24166,-123.0407,Private room,86,2,87,2023-08-31,0.97,1,20,18,23-158144
1109821,Rental unit in Vancouver · ★4.45 · 1 bedroom · 1 bed · 1 bath,600607,Martello,,West End,49.29258,-123.13446,Entire home/apt,73,365,11,2019-03-23,0.09,34,0,0,
1113551,Home in Vancouver · ★4.85 · 4 bedrooms · 6 beds · 2 baths,5231060,Liz,,Kitsilano,49.26110076904297,-123.1595458984375,Entire home/apt,780,7,48,2023-08-05,0.39,1,97,6,23-156690
1118858,Home in Vancouver · ★4.55 · 1 bedroom · 1 bed · 1 private bath,70137,Kai,,West End,49.28239,-123.13021,Private room,95,30,61,2022-12-30,0.49,4,350,1,18-573700
1141457,Guest suite in Vancouver · ★4.72 · 2 bedrooms · 2 beds · 1 bath,6067405,Paige And Grant,,Downtown Eastside,49.27925,-123.08814,Entire home/apt,150,3,319,2023-06-30,2.54,1,226,28,23-156738
1178149,Guest suite in Vancouver · ★4.91 · 1 bedroom · 1 bed · 1 bath,6165412,Sylvia,,Hastings-Sunrise,49.26957,-123.04828,Entire home/apt,97,3,78,2023-08-30,1.24,1,185,23,23-156432
1187929,Home in Vancouver · ★4.85 · 2 bedrooms · 2 beds · 2 baths,6495937,Janet,,Kensington-Cedar Cottage,49.24965,-123.07027,Entire home/apt,196,3,120,2023-08-14,0.97,1,0,21,23-158451
1214617,Guest suite in Vancouver · ★4.86 · 2 bedrooms · 2 beds · 1 bath,6630357,Divina And Viv,,Grandview-Woodland,49.26731,-123.06909,Entire home/apt,210,3,239,2023-08-20,1.93,1,232,24,23-156478
1223989,Condo in Vancouver · ★4.85 · Studio · 1 bed · 1 bath,6677154,Amanda,,Downtown,49.27843,-123.12901,Entire home/apt,150,90,101,2021-01-31,0.81,1,0,0,
1229506,Home in Vancouver · ★4.92 · 3 bedrooms · 3 beds · 2.5 baths,1742728,Karen,,Grandview-Woodland,49.26596,-123.06844,Entire home/apt,520,3,14,2023-08-07,0.11,1,241,3,23-158203
