id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
873536889577800875,Condo in Vancouver · ★5.0 · 1 bedroom · 2 beds · 1 bath,486251819,George,,Downtown,49.28097,-123.12615,Entire home/apt,140,3,3,2023-05-24,2.65,3,55,3,23-485174
873672200496309820,Tiny home in Vancouver · ★New · 1 bedroom · 2 beds · 1 bath,55795952,Krista,,Riley Park,49.256129406369624,-123.09922398465577,Entire home/apt,103,30,0,,,2,115,0,
873905032629462036,Rental unit in Vancouver · ★New · 2 bedrooms · 2 beds · 1 bath,227662329,Jordan,,Downtown,49.277702792823675,-123.12481713275606,Entire home/apt,193,30,0,,,112,294,0,
873943527720176782,Rental unit in Vancouver · ★New · 2 bedrooms · 3 beds · 1 bath,174595052,Gary,,Downtown,49.2791334792978,-123.1171639560147,Entire home/apt,1213,7,0,,,2,341,0,Exempt
873958965598834688,Rental unit in Vancouver · ★New · 2 bedrooms · 2 beds · 2 baths,10535858,Han,,Downtown,49.27705617779585,-123.13068767026787,Entire home/apt,199,31,0,,,1,58,0,
873961441388958082,Townhouse in Vancouver · ★New · 2 bedrooms · 3 beds · 2 baths,420235484,Raiane,,West End,49.284922486658154,-123.1346764904009,Entire home/apt,338,30,0,,,1,159,0,
874132192641328166,Rental unit in Vancouver · ★5.0 · 2 bedrooms · 2 beds · 2 baths,448471454,Liam,,Downtown,49.27954395199279,-123.12568829534473,Entire home/apt,475,4,4,2023-04-24,2.35,7,278,4,Exempt
874159355109620767,Home in Vancouver · ★New · 1 bedroom · 1 bed · Half-bath,88405999,Kristy,,Kerrisdale,49.222416920185765,-123.1520186682328,Private room,64,30,0,,,11,151,0,
874176581116983932,Rental unit in Vancouver · ★New · 1 bedroom · 1 bed · 1 bath,115094557,Darren,,Kitsilano,49.2689339,-123.163512,Entire home/apt,160,30,0,,,1,50,0,
874203324778449378,Home in Vancouver · ★New · 1 bedroom · 1 bed · 1 bath,50941822,Cathy,,Shaughnessy,49.23635575214623,-123.13104991555286,Private room,160,1,0,,,4,253,0,
874214847470571008,Rental unit in Vancouver · ★New · 1 bedroom · 2 beds · 1 bath,177760158,Chelsea,,Kensington-Cedar Cottage,49.251088512084905,-123.08686653541568,Entire home/apt,98,30,0,,,1,140,0,
874592236350095016,Home in Vancouver · ★New · 8 bedrooms · 9 beds · 4.5 baths,215026365,Bellie,,Riley Park,49.25292767942025,-123.091375745663,Entire home/apt,2000,1,0,,,13,364,0,Exempt
874598062923367204,Rental unit in Vancouver · ★New · 1 bedroom · 1 bed · 1 bath,227662329,Jordan,,Kitsilano,49.2691444301263,-123.14724111434131,Entire home/apt,110,30,1,2023-05-26,1,112,183,1,
874607598592266223,Home in Vancouver · ★New · 8 bedrooms · 9 beds · 4.5 baths,357531934,Billie,,Riley Park,49.25452693415152,-123.09178304789751,Entire home/apt,1821,1,0,,,14,364,0,Exempt
874633861077921368,Guest suite in Vancouver · ★5.0 · 2 bedrooms · 4 beds · 1 bath,109874928,Wilrose,,Kensington-Cedar Cottage,49.24302096752914,-123.07182321845076,Entire home/apt,189,3,3,2023-06-05,3,1,102,3,23-213722
874769853535196417,Home in Vancouver · ★New · 1 bedroom · 1 bed · 1 bath,58410001,Lola,,Victoria-Fraserview,49.214845523954665,-123.07687047868968,Private room,160,30,0,,,5,179,0,
874839543402256795,Home in Vancouver · ★New · 3 bedrooms · 4 beds · 3 baths,40651295,Kristin,,Dunbar Southlands,49.241801738049475,-123.18180921616505,Entire home/apt,480,7,0,,,1,64,0,23-215450
874865225757959266,Home in Vancouver · ★New · 1 bedroom · 3 beds · 1 bath,511153154,Xia,,West Point Grey,49.2650144,-123.2125948,Entire home/apt,223,1,2,2023-05-21,1.40,1,113,2,23-205422
874884766347260193,Home in Vancouver · ★5.0 · 1 bedroom · 2 beds · 1 bath,31246921,Harry,,Riley Park,49.24832,-123.09758,Entire home/apt,149,1,4,2023-06-09,3.33,1,45,4,23-215891
874897589530418206,Townhouse in Vancouver · ★New · 1 bedroom · 1 bed · 1 private bath,245163861,Yvonne,,Kitsilano,49.25810680885002,-123.16972246050487,Private room,157,2,0,,,1,113,0,
875527694416157019,Home in Vancouver · ★New · 2 bedrooms · 2 beds · 3 baths,449217423,Vivian,,Kensington-Cedar Cottage,49.24595255996018,-123.07985824671665,Entire home/apt,414,3,2,2023-05-29,2,2,130,2,23-157967
875555946638678827,Rental unit in Vancouver · ★5.0 · 2 bedrooms · 3 beds · 2 baths,190848569,Annie,,Downtown,49.27951186656971,-123.11908224125321,Entire home/apt,298,4,3,2023-06-04,3,1,99,3,23-216300
875584479911398245,Guesthouse in Vancouver · ★New · 1 bedroom · 1 bed · 1 bath,497487519,Alisha,,Hastings-Sunrise,49.2822575,-123.0291175,Entire home/apt,109,16,1,2023-06-01,1,2,173,1,23-219001
875628250505839319,Guesthouse in Vancouver · ★4.43 · 1 bedroom · 1 bed · 1 shared bath,455363170,Lili,,Dunbar Southlands,49.2542129557449,-123.17857592562879,Private room,107,1,7,2023-06-09,5.53,4,223,7,23-181727
875707714417186586,Villa in Vancouver · ★New · 1 bedroom · 1 bed · 1 shared bath,473893690,Kun,,Arbutus Ridge,49.24146056926085,-123.15871381986469,Private room,126,15,0,,,6,179,0,
876016328880447560,Guesthouse in Vancouver · ★5.0 · 5 bedrooms · 5 beds · 2 baths,353294859,Rob,,Kitsilano,49.2677166,-123.1692025,Entire home/apt,436,2,5,2023-06-04,5,2,42,5,23-217458
876124865050413306,Rental unit in Vancouver · ★New · 1 bedroom · 1 bed · 1 bath,511408114,Jenny,,Downtown,49.27861909455152,-123.12353145948705,Entire home/apt,200,3,0,,,1,83,0,23-219985
876295181602709254,Home in Vancouver · ★New · 1 bedroom · 1 bed · 1.5 shared baths,36141263,Ashley And Sean,,Dunbar Southlands,49.25416,-123.18158,Private room,72,60,0,,,3,312,0,
876311009101705317,Rental unit in Vancouver · ★4.63 · Studio · 2 beds · 1 bath,511453456,Joy,,Downtown,49.27652757625113,-123.1315290786391,Entire home/apt,269,5,8,2023-06-06,6.15,1,117,8,22-157509
876408055858798143,Guesthouse in Vancouver · ★5.0 · 2 bedrooms · 4 beds · 1 bath,353294859,Rob,,Kitsilano,49.2677166,-123.1692025,Entire home/apt,222,1,3,2023-06-02,2.57,2,46,3,23-217458
876513023526591798,Home in Vancouver · ★New · 1 bedroom · 1 bed · 1 private bath,88405999,Kristy,,Kerrisdale,49.223066351315516,-123.1530302812881,Private room,70,30,0,,,11,140,0,
876728814133568008,Home in Vancouver · ★New · 1 bedroom · 1 bed · 1 shared bath,72620554,Shelly,,Marpole,49.21036,-123.12902,Private room,39,30,0,,,1,83,0,
876766314572262539,Home in Vancouver · ★New · 7 bedrooms · 7 beds · 9 baths,90327125,Roger,,West Point Grey,49.275197300716414,-123.22185933088065,Entire home/apt,8000,28,0,,,1,179,0,Exempt
876823326776401417,Home in Vancouver · ★New · 1 bedroom · 2 beds · 1 bath,511569829,Phoebe,,Renfrew-Collingwood,49.26190138453047,-123.04212350133638,Entire home/apt,95,2,1,2023-05-21,1,1,3,1,23-614880
877072817484338879,Rental unit in Vancouver · ★5.0 · 3 bedrooms · 3 beds · 2 baths,448471454,Liam,,West End,49.285716096450464,-123.12701968168331,Entire home/apt,454,4,7,2023-05-26,4.47,7,229,7,Exempt
877202178115958429,Rental unit in Vancouver · ★New · 2 bedrooms · 2 beds · 2 baths,96294100,Ruobing,,Downtown,49.276768842099244,-123.13010974227676,Entire home/apt,221,30,0,,,1,37,0,
877604361470849753,Home in Vancouver · ★5.0 · 2 bedrooms · 2 beds · 1 bath,502501946,Winnie,,South Cambie,49.24140756099531,-123.1275342485935,Private room,204,1,3,2023-05-30,3,8,5,3,
877631660018341580,Condo in Vancouver · ★New · 2 bedrooms · 2 beds · 2 baths,21928531,Elliot,,Downtown,49.2811822,-123.1252069,Entire home/apt,576,2,0,,,1,59,0,23-190070
877701269137022002,Rental unit in Vancouver · ★New · 1 bedroom · 1 bed · 1 bath,234877529,Amanpal,,Downtown,49.28073047875095,-123.12343789530124,Entire home/apt,240,2,0,,,1,136,0,23-223081
877715191648854090,Home in Vancouver · ★5.0 · 4 bedrooms · 4 beds · 2 baths,490289186,Damon,,Victoria-Fraserview,49.21062421592447,-123.06504088128138,Entire home/apt,396,2,3,2023-05-22,2.81,1,14,3,Exempt
877751497644643812,Rental unit in Vancouver · ★5.0 · 1 bedroom · 2 beds · 1 bath,18206208,Jenny,,Downtown Eastside,49.279826993787175,-123.09784108148398,Entire home/apt,178,2,5,2023-06-04,4.29,1,93,5,23-209608
877808898941610118,Home in Vancouver · ★New · 4 bedrooms · 3 beds · 1.5 baths,135398535,Madeleine,,Downtown Eastside,49.2799948,-123.0885577,Entire home/apt,280,30,0,,,1,43,0,
877924240375595477,Guesthouse in Vancouver · ★5.0 · 2 bedrooms · 3 beds · 1.5 baths,511816313,Khou,,Sunset,49.22891043137055,-123.10442060187542,Entire home/apt,162,1,4,2023-06-05,2.86,1,130,4,23-218346
877990507057421467,Rental unit in Vancouver · ★New · 2 bedrooms · 2 beds · 1 bath,23975517,I&A,,Downtown,49.28206427203466,-123.12345629342737,Entire home/apt,249,30,0,,,5,120,0,
878280925247489849,Home in Vancouver · ★New · 2 bedrooms · 3 beds · 1 bath,95014992,Satie,,Sunset,49.212106591281085,-123.09692415551281,Entire home/apt,166,1,2,2023-05-22,1.71,1,151,2,23-219034
878367183104714995,Rental unit in Vancouver · ★New · 2 bedrooms · 2 beds · 2 baths,499268524,Shuo,,Downtown,49.2778214,-123.1296535,Entire home/apt,458,30,0,,,5,132,0,23-108095
878509641572897077,Home in Vancouver · ★4.17 · 2 bedrooms · 2 beds · 1 bath,7946351,Jane,,Arbutus Ridge,49.2448977,-123.1664213,Entire home/apt,201,1,6,2023-06-06,4.39,2,301,6,23-218733
878515298209888680,Rental unit in Vancouver · ★5.0 · 3 bedrooms · 3 beds · 2 baths,448471454,Liam,,Downtown,49.27413015452062,-123.13193798533793,Entire home/apt,448,4,3,2023-05-03,2.00,7,262,3,Exempt
878541158328700566,Home in Vancouver · ★4.75 · 2 bedrooms · 2 beds · 1 bath,199300119,Prestige Suites,,Victoria-Fraserview,49.230820448250455,-123.0714027357766,Entire home/apt,220,2,4,2023-06-06,4,3,318,4,23-189651
878955724052144212,Rental unit in Vancouver · ★5.0 · 1 bedroom · 1 bed · 2 baths,84521942,Miyah,,Kitsilano,49.267806860838725,-123.1541085074717,Private room,179,1,4,2023-06-04,4,1,34,4,
878996826803787051,Guest suite in Vancouver · ★4.71 · 1 bedroom · 2 beds · 1 bath,512059464,Xue,,West Point Grey,49.263269047744814,-123.19866731561243,Entire home/apt,149,1,14,2023-06-07,10.00,1,186,14,23-215467
879019069206441352,Rental unit in Vancouver · ★New · 1 bedroom · 1 bed · 1 bath,3570271,Brie,,Kitsilano,49.26849530292124,-123.15733320370484,Entire home/apt,106,30,1,2023-06-08,1,4,35,1,
879125409927988572,Home in Vancouver · ★New · 1 bedroom · 1 bed · 1 private bath,385398255,Yi Yun,,Dunbar Southlands,49.25647217860464,-123.19066647542152,Private room,110,1,1,2023-06-05,1,3,15,1,
879154002670373999,Home in Vancouver · ★New · 1 bedroom · 1 bed · 1 bath,39397410,Dan,,Riley Park,49.25526134491691,-123.10771189911084,Entire home/apt,145,30,0,,,2,321,0,
879286591677602625,Home in Vancouver · ★New · 1 bedroom · 2 beds · 1 bath,472913972,Haobo,,Killarney,49.23241140201006,-123.03668830495708,Entire home/apt,125,1,1,2023-04-28,0.68,1,330,1,23-158274
879310498758308488,Home in Vancouver · ★5.0 · 1 bedroom · 1 bed · 1.5 baths,43824067,Cong,,Mount Pleasant,49.2567798,-123.0968604,Private room,147,1,9,2023-06-05,6.59,1,56,9,
879352922885657054,Rental unit in Vancouver · ★New · 1 bedroom · 1 bed · 1 bath,460089495,Peter,,Downtown,49.27463541345492,-123.11296290463554,Entire home/apt,102,30,0,,,7,343,0,
